0.0000,1.5708
0.0271,1.6314
0.0540,1.6923
0.0807,1.7536
0.1070,1.8155
0.1328,1.8782
0.1580,1.9420
0.1824,2.0071
0.2059,2.0736
0.2283,2.1418
0.2495,2.2119
0.2694,2.2841
0.2879,2.3585
0.3048,2.4353
0.3201,2.5144
0.3337,2.5959
0.3454,2.6797
0.3552,2.7656
0.3629,2.8534
0.3687,2.9429
0.3723,3.0336
0.3739,3.1249
0.3733,3.2162
0.3707,3.3070
0.3659,3.3969
0.3591,3.4855
0.3502,3.5725
0.3393,3.6576
0.3264,3.7405
0.3117,3.8211
0.2952,3.8993
0.2771,3.9749
0.2575,4.0484
0.2365,4.1197
0.2144,4.1891
0.1911,4.2567
0.1668,4.3227
0.1418,4.3873
0.1160,4.4507
0.0896,4.5131
0.0628,4.5747
0.0357,4.6358
0.0085,4.6965
-0.0187,4.7572
-0.0458,4.8180
-0.0727,4.8791
-0.0991,4.9409
-0.1252,5.0034
-0.1506,5.0670
-0.1753,5.1318
-0.1992,5.1981
-0.2221,5.2660
-0.2439,5.3357
-0.2644,5.4074
-0.2835,5.4814
-0.3011,5.5576
-0.3169,5.6363
-0.3309,5.7174
-0.3431,5.8008
-0.3533,5.8864
-0.3615,5.9738
-0.3676,6.0629
-0.3717,6.1531
-0.3736,6.2441
-0.3735,6.3353
-0.3712,6.4263
-0.3669,6.5164
-0.3604,6.6052
-0.3520,6.6924
-0.3415,6.7777
-0.3291,6.8608
-0.3149,6.9417
-0.2989,7.0201
-0.2813,7.0962
-0.2621,7.1699
-0.2415,7.2414
-0.2196,7.3110
-0.1966,7.3788
-0.1726,7.4449
-0.1478,7.5096
-0.1222,7.5731
-0.0961,7.6356
-0.0695,7.6973
-0.0426,7.7585
-0.0155,7.8193
0.0116,7.8800
0.0387,7.9408
0.0656,8.0019
0.0922,8.0635
0.1184,8.1259
0.1440,8.1892
0.1690,8.2537
0.1932,8.3195
0.2164,8.3869
0.2385,8.4560
0.2594,8.5272
0.2788,8.6005
0.2967,8.6760
0.3131,8.7540
0.3276,8.8343
