0.0000,3.1416
0.0335,3.1921
0.0670,3.2427
0.1004,3.2936
0.1337,3.3447
0.1668,3.3962
0.1997,3.4483
0.2323,3.5009
0.2646,3.5543
0.2965,3.6085
0.3280,3.6638
0.3590,3.7201
0.3895,3.7778
0.4194,3.8370
0.4485,3.8978
0.4770,3.9605
0.5046,4.0253
0.5313,4.0924
0.5570,4.1620
0.5816,4.2343
0.6051,4.3096
0.6272,4.3882
0.6481,4.4702
0.6674,4.5561
0.6852,4.6461
0.7013,4.7405
0.7158,4.8394
0.7285,4.9429
0.7395,5.0510
0.7488,5.1635
0.7566,5.2804
0.7628,5.4013
0.7677,5.5260
0.7715,5.6539
0.7742,5.7846
0.7761,5.9175
0.7773,6.0519
0.7780,6.1872
0.7781,6.3230
0.7777,6.4586
0.7768,6.5935
0.7752,6.7270
0.7729,6.8588
0.7696,6.9881
0.7651,7.1144
0.7594,7.2372
0.7523,7.3562
0.7436,7.4708
0.7331,7.5809
0.7210,7.6863
0.7072,7.7872
0.6916,7.8835
0.6745,7.9753
0.6557,8.0630
0.6354,8.1466
0.6136,8.2267
0.5906,8.3033
0.5664,8.3769
0.5410,8.4476
0.5146,8.5157
0.4872,8.5814
0.4590,8.6450
0.4300,8.7067
0.4003,8.7666
0.3699,8.8250
0.3390,8.8821
0.3077,8.9379
0.2759,8.9927
0.2437,9.0466
0.2111,9.0997
0.1783,9.1521
0.1452,9.2039
0.1119,9.2552
0.0785,9.3062
0.0450,9.3570
0.0114,9.4076
-0.0222,9.4582
-0.0557,9.5089
-0.0892,9.5598
-0.1225,9.6109
-0.1556,9.6624
-0.1886,9.7144
-0.2212,9.7669
-0.2536,9.8201
-0.2856,9.8740
-0.3172,9.9290
-0.3483,9.9850
-0.3789,10.0423
-0.4089,10.1011
-0.4383,10.1615
-0.4669,10.2236
-0.4947,10.2878
-0.5217,10.3543
-0.5476,10.4231
-0.5725,10.4947
-0.5963,10.5692
-0.6188,10.6468
-0.6399,10.7279
-0.6596,10.8127
-0.6778,10.9014
